"Date","Close","CloseI","correlation","beta","r2"
"2002-09",3.54999995231628,5431.7001953125,-0.7977450765776,-0.000305271457629635,0.6363972072038
"2002-10",3.86999988555908,6139.39990234375,-0.815016754320643,-0.000311783091465188,0.664252309823355
"2002-11",3.85999989509583,6685.60009765625,-0.825325285065797,-0.000319563656901755,0.681161826168939
"2002-12",3.72499990463257,6036.89990234375,-0.834897866886791,-0.000319316042418634,0.697054448132114
"2003-01",3.79999995231628,5947.7001953125,-0.844323191305372,-0.000320196055186993,0.712881651376088
"2003-02",3.86500000953674,5999.39990234375,-0.853024263233953,-0.000322631115587831,0.727650393665829
"2003-03",3.89499998092651,5870.5,-0.860941848256945,-0.000324542551426365,0.741220866080084
"2003-04",3.98000001907349,6489.5,-0.865416282590674,-0.000330074653084507,0.748945342173061
"2003-05",4.19999980926514,6508.5,-0.867391764757171,-0.000338129889067709,0.752368473568559
"2003-06",4.21099996566772,6862,-0.865798396340458,-0.000345609025356855,0.749606863105709
"2003-07",4.65000009536743,7061.7001953125,-0.852065088498823,-0.00035641505305174,0.726014915038506
"2003-08",4.83900022506714,7111.2998046875,-0.8357019075789,-0.000367913963857206,0.698397678331012
"2003-09",5.38000011444092,6703.60009765625,-0.816506809826948,-0.000386110861754779,0.666683370493779
"2003-10",5.52500009536743,7129.5,-0.791009281272077,-0.000401214085810819,0.625695683058568
"2003-11",6.05000019073486,7252.5,-0.755186121431904,-0.000417985218853589,0.570306078003363
"2003-12",5.90999984741211,7737.2001953125,-0.722180789034967,-0.000427082312972112,0.521545092051168
"2004-01",6,7929.89990234375,-0.68995877093559,-0.000433399711208407,0.476043105590951
"2004-02",6.55000019073486,8249.400390625,-0.642724673891931,-0.000434888884051333,0.413095006429489
"2004-03",6.21500015258789,8018.10009765625,-0.618434211038425,-0.000439930342658518,0.382460873382719
"2004-04",6.19999980926514,8109.5,-0.596711624896233,-0.000443330050984231,0.356064763286303
"2004-05",5.80000019073486,7959.2998046875,-0.586396171856432,-0.000447976610761916,0.343860470367879
"2004-06",5.84999990463257,8078.2998046875,-0.574852595619777,-0.000451063791673607,0.330455506690795
